title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Crazy Bitches,4.1,16,2014-06-26,2,100,3,1.151,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Criminal,6.174,1600,2016-04-07,14708696,113,31500000,21.87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Help, I Shrunk My Parents",5.378,37,2018-01-18,8351526,90,7000000,5.315,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Roman Holiday,7.885,1827,1953-08-26,12000000,119,1500000,22.102,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Hard to Kill,5.987,549,1990-02-09,47410000,96,10000000,20.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Stop 174,7.233,165,2008-10-24,1672292,108,4700002,8.808,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Justice League: War,7.449,987,2014-01-21,5155325,79,3500000,16.435,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precious Cargo,5.113,256,2016-07-15,567064,99,10500000,13.034,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fierce Creatures,6.135,311,1997-01-23,9381260,93,25000000,14.718,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I'm Not Angry!,7.8,8,2014-02-08,100000,110,10000,0.834,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Soul,8.15,9473,2020-12-25,136384442,101,150000000,48.876,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"Crouching Tiger, Hidden Dragon",7.409,2914,2000-07-06,213525736,120,17000000,25.021,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
99 Homes,6.766,682,2015-09-25,1411927,112,8000000,12.223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Moscow, Belgium",6.6,39,2008-01-30,1500000,102,560000,1.988,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Sevenes,5.2,10,2011-01-01,2000000,150,1000000,3.828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Target,6.4,636,2010-06-17,3453043,98,8000000,11.049,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice Age: The Meltdown,6.688,9085,2006-03-29,660998756,91,80000000,54.381,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Staying Alive,5.738,425,1983-07-11,64892670,93,22000000,18.237,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
